canonical_form_id,court_type,form_number,current_title,current_stage,official_identity_status,official_form_url,official_title,revision_or_effective_at,official_rule_url,rule_pinpoint,required_future_posture_fact,blocker_reason,checked_at
4300c97c-a430-45b4-b7cb-da90f0d9be20,small-claims,Form 11,3A Notice of Discontinued Claim,starting-case,official-identity-verified-needs-posture,https://ontariocourtforms.on.ca/en/rules-of-the-small-claims-court-forms/113a/,Notice of Discontinued Claim,"Version Jan. 23 2014; effective July 18 2014",https://www.ontario.ca/laws/regulation/980258,11.3.01,"formApplicability.smallClaims.discontinuancePosture=discontinue-undefended-claim; formApplicability.smallClaims.discontinuanceCapacity=no-party-under-disability",The active catalogue number/title/stage are malformed or stale and must be repaired before any routing work; the Rule also requires service/proof and court leave for disability cases.,2026-08-12
3915228f-c604-43b8-9406-cf158d057137,small-claims,Form 11A,Notice of Motion and Supporting Affidavit,motion,official-page-unavailable,https://ontariocourtforms.on.ca/en/rules-of-the-small-claims-court-forms/11a/,,,,,No safe posture fact: the exact official page could not be retrieved and the live title conflicts with the verified Form 15A motion identity.,2026-08-12
6cdaec7b-5e8b-4f31-a360-580fc85660d3,small-claims,Form 15A,Notice of Motion and Supporting Affidavit .,motion,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/rules-of-the-small-claims-court-forms/15a/,Notice of Motion and Supporting Affidavit,,,15.01,No safe posture fact until the duplicate canonical identities are reconciled,Two active canonical identities point to the same Form 15A identity; this row also has a punctuation-variant title.,2026-08-12
c64b6ee4-f865-4da7-a8e9-6d26762d7098,small-claims,Form 15A,Notice of Motion and Supporting Affidavit,motion,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/rules-of-the-small-claims-court-forms/15a/,Notice of Motion and Supporting Affidavit,,,15.01,No safe posture fact until the duplicate canonical identities are reconciled,Two active canonical identities point to the same Form 15A identity.,2026-08-12
f7ba6b3f-ad58-49f2-8c1d-affc12835d2f,small-claims,Form 20A,Notice of Garnishment,enforcement,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/rules-of-the-small-claims-court-forms/20a/,Certificate of Judgment,"Version Jan. 23 2014; effective July 18 2014",,,No safe posture fact until the catalogue identity is repaired,Live title says Notice of Garnishment while the official Form 20A page says Certificate of Judgment.,2026-08-12
1a170388-b11c-4642-a61a-bb95cb6da8ac,small-claims,Form 20B,Writ of Delivery,enforcement,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/rules-of-the-small-claims-court-forms/20b/,,,,,No safe posture fact until the catalogue identity is repaired,The exact official Form 20B page was not retrievable and a second active Form 20B canonical record has a different title.,2026-08-12
2f3b3dbb-0799-4d81-bcc3-03c2116dfe4d,small-claims,Form 20B,Affidavit for Enforcement Request,enforcement,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/rules-of-the-small-claims-court-forms/20b/,,,,,No safe posture fact until the catalogue identity is repaired,The exact official Form 20B page was not retrievable and a second active Form 20B canonical record has a different title.,2026-08-12
78946826-4c9a-4a4d-907b-3cda465d7869,small-claims,Form 20D,Affidavit for Writ of Seizure and Sale of Land,enforcement,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/rules-of-the-small-claims-court-forms/20d/,Writ of Seizure and Sale of Land,"Version May 1 2025; effective Oct. 6 2025",,,No safe posture fact until the catalogue identity is repaired,Live title conflicts with the exact official Form 20D title.,2026-08-12
49b1171a-5a50-4067-9035-59c8626fade8,small-claims,Form 20E,Writ of Seizure and Sale of Land,enforcement,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/rules-of-the-small-claims-court-forms/20e/,Notice of Garnishment,"Version Jan. 1 2021; effective March 1 2021",,,No safe posture fact until the catalogue identity is repaired,Live title conflicts with the exact official Form 20E title.,2026-08-12
29a85a4b-05bb-47e6-ac3a-75c9c614973c,small-claims,Form 20N,Request to Renew Writ of Seizure and Sale,enforcement,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/rules-of-the-small-claims-court-forms/20n/,Request to Renew Writ of Seizure and Sale,,,20.06(3),No safe posture fact until the duplicate canonical identities are reconciled,Two active canonical identities point to the same Form 20N identity and the exact live form page was unavailable at the expected URL.,2026-08-12
5ad2929b-c763-4f87-b0cf-cb062835b293,small-claims,Form 20N,Request to Renew Writ of Seizure and Sale .,enforcement,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/rules-of-the-small-claims-court-forms/20n/,Request to Renew Writ of Seizure and Sale,,,20.06(3),No safe posture fact until the duplicate canonical identities are reconciled,Two active canonical identities point to the same Form 20N identity and this row has a punctuation-variant title.,2026-08-12
f059db48-516f-4342-b463-10a9122de6a2,small-claims,Form 20O,Direction to Enforce Writ of Seizure and Sale of Personal Property,enforcement,official-identity-verified-needs-posture,https://ontariocourtforms.on.ca/en/rules-of-the-small-claims-court-forms/20o/,Direction to Enforce Writ of Seizure and Sale of Personal Property,"Version Jan. 23 2014; effective July 18 2014",,,formApplicability.smallClaims.enforcementPosture=creditor-directing-existing-personal-property-writ,The governing enforcement preconditions and any bailiff/court requirements have not been reduced to a safe routing boundary.,2026-08-12
66684b2b-c031-488e-8e19-c0c4d40c4d6c,small-claims,Form 20P,Affidavit for Enforcement Request,enforcement,official-identity-verified-needs-posture,https://ontariocourtforms.on.ca/en/rules-of-the-small-claims-court-forms/20p-1/,Affidavit for Enforcement Request,"Version Jan. 1 2021; effective March 1 2021",https://www.ontario.ca/laws/regulation/980258,20.06(1),formApplicability.smallClaims.enforcementPosture=creditor-seeking-personal-property-writ-after-default,The Rule requires an existing money/recovery order and default; enforcement validity and the amount owing remain review-required.,2026-08-12
4f1eed91-6a00-4111-b28d-d0231ad385bc,family,Form 15D,Consent Motion to Change Child Support,motion,official-identity-verified-needs-posture,https://ontariocourtforms.on.ca/en/family-law-rules-forms/15d-1/,Consent Motion to Change Child Support,"Version Dec. 1 2020; effective March 1 2021",https://www.ontario.ca/laws/regulation/990114,15(18),formApplicability.family.motionToChangePosture=consent-child-support-only-change,The Rule depends on an existing final order/agreement and unanimous required consent; attachments and filing readiness remain review-required.,2026-08-12
edd91020-9fea-4294-a01c-695236c5b3f6,family,Form 17,Conference Notice,conference,official-identity-verified-needs-posture,https://ontariocourtforms.on.ca/en/family-law-rules-forms/17-1/,Conference Notice,"Version Nov. 1 2018; effective Jan. 1 2019",https://www.ontario.ca/laws/regulation/990114,17(4.1),formApplicability.family.conferencePosture=party-requesting-case-conference,The court scheduling and conference appropriateness remain review-required.,2026-08-12
5310b079-0ede-4b63-8fbc-dbb04319fc66,family,Form 17B,Case conference brief for protection application or status review,starting-case,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/family-law-rules-forms/17b-1/,Case conference brief for protection application or status review,"Version March 1 2018; effective April 30 2018",https://www.ontario.ca/laws/regulation/990114,17(13),No safe posture fact until duplicate canonical identity and contradictory stage are resolved,The same official Form 17B identity appears in two active canonical records with different stored stages.,2026-08-12
d2a6b784-5ac5-491e-860c-8b02645d4957,family,Form 17B,Case Conference Brief,conference,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/family-law-rules-forms/17b-1/,Case conference brief for protection application or status review,"Version March 1 2018; effective April 30 2018",https://www.ontario.ca/laws/regulation/990114,17(13),No safe posture fact until duplicate canonical identity and contradictory title are resolved,The same official Form 17B identity appears in two active canonical records and this row has a non-specific title.,2026-08-12
7ef801e0-5296-4019-9e93-ed2853133207,family,Form 17C,Settlement Conference Brief,conference,official-identity-verified-needs-posture,https://ontariocourtforms.on.ca/en/family-law-rules-forms/17c/,Settlement Conference Brief – General,"Version Sept. 1 2023; effective Nov. 27 2023",https://www.ontario.ca/laws/regulation/990114,17(13),formApplicability.family.conferencePosture=party-preparing-general-settlement-conference-brief,The selection of a general rather than protection/status-review conference must remain fail-closed; settlement position and readiness remain review-required.,2026-08-12
ebb42456-5262-487b-aa9e-a3e4d766e332,family,Form 17D,Settlement Conference Brief for Protection Application,starting-case,official-identity-verified-needs-posture,https://ontariocourtforms.on.ca/en/family-law-rules-forms/17d/,Settlement conference brief for protection application or status review,"Version Sept. 1 2023; effective Nov. 27 2023",https://www.ontario.ca/laws/regulation/990114,17(13),formApplicability.family.conferencePosture=party-preparing-protection-or-status-review-settlement-brief,Stored starting-case stage is not sufficient for a conference brief and requires catalogue-stage repair before routing; case type must be canonical and exact.,2026-08-12
daabe088-303b-43ac-8444-c668ebd05230,family,Form 17F,Confirmation of Conference,conference,rule-support-insufficient,https://ontariocourtforms.on.ca/en/family-law-rules-forms/17f-1/,Confirmation of Conference,"Version Sept. 24 2024; effective Jan. 22 2025",https://www.ontario.ca/laws/regulation/990114,17(14),No safe standalone posture fact: scheduled event details and timing are required,The rule ties the form to the scheduled conference and delivery/filing timing; it is not safely routable from a generic user confirmation.,2026-08-12
c3883a2e-2e38-41fc-b7d1-c3320e291344,family,Form 23C,Affidavit for Uncontested Trial,trial,official-identity-verified-needs-posture,https://ontariocourtforms.on.ca/en/family-law-rules-forms/23c-1/,Affidavit for Uncontested Trial,"Version Dec. 1 2020; effective March 1 2021",https://www.ontario.ca/laws/regulation/990114,23(22),formApplicability.family.trialPosture=uncontested-trial,Use remains subject to the court’s direction and evidentiary/service requirements; no filing or evidence certification is supported.,2026-08-12
232d5817-e2d1-4960-a5c6-9d358d84d60e,family,Form 27,Enforcement Form,enforcement,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/family-law-rules-forms/27/,,,,,No safe posture fact until exact official title and purpose are linked to this canonical record,The generic live title does not establish an exact official identity and no direct official page evidence linked the UUID to a form purpose.,2026-08-12
42e5c374-4f93-4542-99ca-2de1145d8828,family,Form 27A,Enforcement Form,enforcement,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/family-law-rules-forms/27a/,,,,,No safe posture fact until exact official title and purpose are linked to this canonical record,The generic live title does not establish an exact official identity and no direct official page evidence linked the UUID to a form purpose.,2026-08-12
ab1f9c76-2d70-4798-bcd8-77080920e906,family,Form 27B,Enforcement Form,enforcement,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/family-law-rules-forms/27b/,,,,,No safe posture fact until exact official title and purpose are linked to this canonical record,The generic live title does not establish an exact official identity and no direct official page evidence linked the UUID to a form purpose.,2026-08-12
4c566883-1256-47ce-bedb-381a0aabae69,family,Form 27C,Enforcement Form,enforcement,official-identity-ambiguous,https://ontariocourtforms.on.ca/en/family-law-rules-forms/27c/,,,,,No safe posture fact until exact official title and purpose are linked to this canonical record,The generic live title does not establish an exact official identity and no direct official page evidence linked the UUID to a form purpose.,2026-08-12
